#{"t_start": 1698878488.844074, "env_id": "Pendulum-v1"}
r,l,t
-521.287952,200,127.27386
-283.68632,200,127.386014
-274.792746,200,127.498055
-413.115705,200,127.611989
-276.836477,200,127.723834
-402.289691,200,128.347896
-554.275405,200,128.460278
-411.539303,200,128.572726
-392.261659,200,128.685178
-276.874449,200,128.797354
-421.992385,200,129.422133
-522.967474,200,129.534974
-480.031319,200,129.647088
-402.10213,200,129.761595
-490.37709,200,129.873607
-137.318171,200,130.496548
-492.100124,200,130.608286
-405.348915,200,130.72017
-133.200215,200,130.831933
-274.85348,200,130.94373
-273.839118,200,131.566569
-517.416126,200,131.678531
-286.751713,200,131.790629
-278.423268,200,131.904576
-18.942403,200,132.016703
-141.406206,200,132.639766
-276.629655,200,132.751814
-278.407535,200,132.863886
-801.420728,200,132.975914
-263.149707,200,133.087921
-18.537132,200,133.710997
-271.361066,200,133.822977
-391.305886,200,133.934705
-139.384954,200,134.048214
-10.410106,200,134.160045
-9.714485,200,134.785326
-264.257322,200,134.897318
-267.7815,200,135.00906
-1491.380924,200,135.121319
-269.720439,200,135.233359
-404.747786,200,135.856297
-402.763272,200,135.968131
-135.559709,200,136.080085
-261.829565,200,136.194207
-6.33556,200,136.306214
-272.250815,200,136.417917
-7.528168,200,137.041288
-259.098071,200,137.153238
-6.960138,200,137.264954
-517.29064,200,137.377022
-135.932727,200,137.488768
-396.911098,200,138.112262
-141.604225,200,138.224354
-263.995766,200,138.338844
-137.186188,200,138.451055
-514.159011,200,138.563103
-9.466262,200,139.186303
-271.654843,200,139.298487
-279.382528,200,139.410694
-268.716738,200,139.524013
-273.406457,200,139.636127
-131.50643,200,140.260774
-259.02119,200,140.372946
-388.478524,200,140.48699
-256.088879,200,140.598927
-295.785445,200,140.710836
-8.798392,200,141.33381
-622.818371,200,141.4459
-646.668401,200,141.55809
-6.893379,200,141.670037
-658.511971,200,141.782055
-529.301256,200,142.405408
-391.448708,200,142.51919
-6.080609,200,142.631034
-3.652606,200,142.742863
-479.676324,200,142.85461
-128.758936,200,143.477648
-322.529778,200,143.590668
-268.436001,200,143.702862
-270.683767,200,143.814926
-132.841458,200,143.927119
-137.448673,200,144.551797
-3.843439,200,144.665929
-392.39022,200,144.778454
-266.220699,200,144.890707
-515.668309,200,145.002916
-134.017308,200,145.625734
-128.389853,200,145.737921
-264.245907,200,145.849958
-311.171765,200,145.962085
-131.357536,200,146.074305
-263.063966,200,146.186522
-397.625549,200,146.812109
-262.271799,200,146.924662
-267.288546,200,147.036887
-434.169506,200,147.14917
-506.117425,200,147.26137
-4.36916,200,147.884613
-257.656497,200,147.996842
-410.136282,200,148.1092
-388.167169,200,148.221441
-1274.639463,200,148.333587
-384.048496,200,148.958119
-125.671647,200,149.070264
-267.007763,200,149.18242
-258.551931,200,149.294799
-139.294977,200,149.407353
-132.32301,200,150.032017
-276.591581,200,150.144347
-1.491438,200,150.256582
-2.558535,200,150.36888
-128.010455,200,150.483425
-126.599219,200,151.106078
-264.984429,200,151.218292
-131.035691,200,151.330616
-262.177784,200,151.442538
-265.966861,200,151.554882
-134.607671,200,152.177486
-383.796117,200,152.28987
-290.922682,200,152.402186
-0.503389,200,152.514433
-0.607132,200,152.628751
-130.187512,200,153.251745
-132.397478,200,153.364006
-363.674545,200,153.476058
-130.683631,200,153.588374
-129.402558,200,153.700317
-404.219946,200,154.322854
-274.891625,200,154.435638
-254.012251,200,154.548866
-366.543346,200,154.661185
-128.011422,200,154.776163
-1.578745,200,154.888687
-390.525428,200,155.511741
-130.731467,200,155.623818
-131.433288,200,155.735722
-132.374435,200,155.847724
-128.648405,200,155.959852
-0.412477,200,156.58251
-128.667609,200,156.694709
-132.058654,200,156.80664
-1.039086,200,156.920721
-349.471736,200,157.032422
-2.927622,200,157.65551
-129.00513,200,157.768165
-131.631077,200,157.880532
-129.994988,200,157.992766
-128.883263,200,158.105102
-129.034552,200,158.728021
-270.51629,200,158.840159
-132.219616,200,158.952427
-125.93958,200,159.066896
-363.586923,200,159.179071
-256.037479,200,159.807499
-130.67621,200,159.920305
-132.859791,200,160.032727
-272.667255,200,160.145011
-130.809798,200,160.257577
-131.389928,200,160.882336
-349.633731,200,160.994429
-323.301721,200,161.10849
-284.665255,200,161.22051
-268.126533,200,161.333175
-127.485765,200,161.955681
-1.360239,200,162.067508
-269.779276,200,162.179731
-267.038301,200,162.291624
-250.838548,200,162.403509
-131.838329,200,163.026651
-131.31152,200,163.138179
-130.943039,200,163.252425
-369.589324,200,163.364069
-256.601351,200,163.475942
-129.051652,200,163.587865
-526.443555,200,164.210766
-1.035644,200,164.322798
-129.731612,200,164.435076
-639.529824,200,164.547782
-269.386814,200,164.659408
-271.388823,200,165.283804
-131.965914,200,165.397787
-265.685519,200,165.509869
-130.350365,200,165.621738
-254.908842,200,165.733863
