#{"t_start": 1698683506.2044702, "env_id": "CarRacing-v2"}
r,l,t
219.727413,935,10664.712945
856.20438,1000,10676.488734
51.750973,1000,10687.207869
716.608997,1000,10698.753653
548.902821,1000,10711.022979
892.982456,1000,10722.843833
706.853583,1000,10734.700121
881.762918,1000,10746.713497
826.199262,1000,10758.222397
853.571429,1000,10769.896605
822.807018,1000,10781.766089
896.527778,1000,10793.476238
393.243243,1000,10804.896506
705.970149,1000,10816.519918
851.048951,1000,10828.165211
831.034483,1000,10839.388131
871.530249,1000,10851.061341
892.857143,1000,10862.648046
578.966667,878,10872.982686
459.566787,1000,10884.431258
875.524476,1000,10896.060072
756.617647,1000,10907.729002
165.533333,679,10915.657223
177.936963,1000,10927.400156
459.485531,1000,10939.116827
866.911765,1000,10950.863095
681.569966,1000,10962.534186
847.019868,1000,10974.312204
744.290657,1000,10986.044788
925.1,749,10994.481519
840.397351,1000,11006.331963
840.298507,1000,11017.870548
846.127946,1000,11029.626184
889.130435,1000,11041.127426
829.26045,1000,11053.149743
637.463127,1000,11065.288395
788.030888,1000,11076.757517
838.511327,1000,11088.684852
781.987578,1000,11100.68451
860.992908,1000,11112.355818
768.686869,1000,11124.175359
896.363636,1000,11135.700488
841.979522,1000,11147.406281
799.641577,1000,11159.071902
579.442509,1000,11170.774839
886.531987,1000,11182.479526
823.076923,1000,11194.330356
774.233129,1000,11206.246033
286.206897,1000,11217.844708
846.043165,1000,11229.447479
802.684564,1000,11240.814558
643.119266,1000,11252.855301
808.450704,1000,11264.599142
725.657895,1000,11276.419223
68.789809,1000,11287.670861
758.5209,1000,11299.554515
865.753425,1000,11311.21214
829.889299,1000,11322.851152
707.453416,1000,11334.898122
840.594059,1000,11346.794906
