#{"t_start": 1698676261.2022698, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,21.235424
-113.0,14,21.246644
-13.0,13,21.262668
-13.0,13,21.272648
-13.0,13,21.281565
-13.0,13,21.294386
-13.0,13,21.307181
-13.0,13,21.315973
-123.0,24,21.332885
-13.0,13,21.34271
-13.0,13,21.359629
-13.0,13,21.367894
-13.0,13,21.378163
-13.0,13,21.386682
-13.0,13,21.400546
-15.0,15,21.414285
-13.0,13,21.425794
-13.0,13,21.435739
-13.0,13,21.449337
-13.0,13,21.459348
-13.0,13,21.47231
-13.0,13,21.484448
-15.0,15,21.501015
-13.0,13,21.511443
-13.0,13,21.523035
-13.0,13,21.53504
-13.0,13,21.551286
-13.0,13,21.559966
-13.0,13,21.570368
-13.0,13,21.581041
-13.0,13,21.598102
-13.0,13,21.608365
-13.0,13,21.616899
-13.0,13,21.625409
-13.0,13,21.641501
-13.0,13,21.650908
-13.0,13,21.660789
-13.0,13,21.667812
-13.0,13,21.684317
-13.0,13,21.692492
-13.0,13,21.700748
-13.0,13,21.710146
-13.0,13,21.724663
-13.0,13,21.733238
-13.0,13,21.742754
-13.0,13,21.753273
-118.0,19,21.776487
-13.0,13,21.784679
-13.0,13,21.796725
-13.0,13,21.805245
-13.0,13,21.81992
-13.0,13,21.831532
-13.0,13,21.843529
-13.0,13,21.852286
-13.0,13,21.865527
-13.0,13,21.874151
-13.0,13,21.887186
-13.0,13,21.899724
-13.0,13,21.914535
-13.0,13,21.927341
-13.0,13,21.939296
-13.0,13,21.94658
-13.0,13,21.961792
-13.0,13,21.971677
-13.0,13,21.98321
-15.0,15,21.991724
-13.0,13,22.008168
-13.0,13,22.018196
-13.0,13,22.025709
-13.0,13,22.034627
-13.0,13,22.049801
-13.0,13,22.057806
-13.0,13,22.068489
-13.0,13,22.076846
-13.0,13,22.093795
-13.0,13,22.102404
-13.0,13,22.110492
-13.0,13,22.119999
-13.0,13,22.139753
-13.0,13,22.149912
-13.0,13,22.159702
-13.0,13,22.17053
-13.0,13,22.188651
-13.0,13,22.197797
-13.0,13,22.206546
-13.0,13,22.214178
-13.0,13,22.229701
-13.0,13,22.243954
-13.0,13,22.254051
-13.0,13,22.262778
-13.0,13,22.279665
-13.0,13,22.289435
-13.0,13,22.299587
-13.0,13,22.308102
-13.0,13,22.322323
-13.0,13,22.331847
-13.0,13,22.341128
-13.0,13,22.352533
-13.0,13,22.369358
-13.0,13,22.378049
-116.0,17,22.391274
-13.0,13,22.400336
-124.0,25,22.425915
-13.0,13,22.435451
-13.0,13,22.445625
-13.0,13,22.453137
-13.0,13,22.470476
-13.0,13,22.479615
-13.0,13,22.490482
-13.0,13,22.49958
-13.0,13,22.517485
-13.0,13,22.527006
-13.0,13,22.537589
-13.0,13,22.549314
-13.0,13,22.56781
-13.0,13,22.579651
-13.0,13,22.591851
-13.0,13,22.604654
-13.0,13,22.618475
-13.0,13,22.628395
-13.0,13,22.636724
-13.0,13,22.646677
-13.0,13,22.664631
-13.0,13,22.675157
-13.0,13,22.685382
-13.0,13,22.694905
-13.0,13,22.711828
-13.0,13,22.723639
-13.0,13,22.734172
-13.0,13,22.743688
-15.0,15,22.760708
-13.0,13,22.768195
-13.0,13,22.78078
-13.0,13,22.789548
-13.0,13,22.805388
-13.0,13,22.815064
-13.0,13,22.824706
-13.0,13,22.834532
-13.0,13,22.849446
-13.0,13,22.859487
-15.0,15,22.870504
-13.0,13,22.881725
-13.0,13,22.89837
-13.0,13,22.908328
-13.0,13,22.917856
-13.0,13,22.931565
-13.0,13,22.95067
-13.0,13,22.961197
-13.0,13,22.971905
-13.0,13,22.980725
-13.0,13,22.996947
-13.0,13,23.006073
-13.0,13,23.017088
-13.0,13,23.028048
-13.0,13,23.04533
-13.0,13,23.055338
-13.0,13,23.066868
-13.0,13,23.07864
-13.0,13,23.094828
-13.0,13,23.102816
-13.0,13,23.111148
-13.0,13,23.121652
-13.0,13,23.138294
-13.0,13,23.145811
-13.0,13,23.153304
-13.0,13,23.162598
-13.0,13,23.179554
-13.0,13,23.189406
-13.0,13,23.20009
-13.0,13,23.210252
-15.0,15,23.229675
-13.0,13,23.239781
-15.0,15,23.251646
-13.0,13,23.260152
-116.0,17,23.276669
-13.0,13,23.286787
-13.0,13,23.297962
-13.0,13,23.313038
-13.0,13,23.333588
-13.0,13,23.343731
-13.0,13,23.354244
-13.0,13,23.363181
-13.0,13,23.37935
-13.0,13,23.387624
-13.0,13,23.395757
-13.0,13,23.403532
-13.0,13,23.41955
-13.0,13,23.429783
-13.0,13,23.438651
-13.0,13,23.446865
-13.0,13,23.463405
-13.0,13,23.472354
-13.0,13,23.480865
-13.0,13,23.490344
-13.0,13,23.507789
-13.0,13,23.518215
-13.0,13,23.526729
-13.0,13,23.536742
-13.0,13,23.553832
-13.0,13,23.562343
-13.0,13,23.571866
-13.0,13,23.58154
-13.0,13,23.598397
-13.0,13,23.609903
-13.0,13,23.619645
-13.0,13,23.629707
-13.0,13,23.647023
-13.0,13,23.6571
-13.0,13,23.667772
-13.0,13,23.677286
-13.0,13,23.69361
-15.0,15,23.702572
-13.0,13,23.711587
-13.0,13,23.721102
-13.0,13,23.736916
-13.0,13,23.745826
-15.0,15,23.758395
-13.0,13,23.766419
-13.0,13,23.785796
